vibration,temperature,current,voltage
0.0,47.19,3.9,12.57
0.18,47.38,3.89,12.54
0.19,47.5,3.94,12.7
0.26,47.63,3.86,12.41
0.29,47.75,3.84,12.35
0.25,47.88,3.96,12.76
0.27,47.94,3.82,12.29
0.32,48.0,3.78,12.16
0.46,48.06,3.88,12.49
0.39,48.13,3.88,12.49
0.35,48.19,3.83,12.33
0.32,48.25,3.74,12.05
0.36,48.25,3.84,12.37
0.36,48.31,4.19,13.49
0.37,48.31,3.91,12.58
0.47,48.38,3.83,12.33
0.41,48.38,3.88,12.49
0.37,48.38,3.84,12.35
0.33,48.38,3.84,12.37
0.33,48.38,3.93,12.65
0.34,48.44,3.89,12.53
0.32,48.44,3.84,12.35
0.36,48.44,3.82,12.3
0.29,48.44,3.96,12.76
0.32,48.44,3.79,12.2
0.3,48.38,3.82,12.3
0.31,48.44,4.0,12.87
0.29,48.44,3.82,12.31
0.28,48.38,3.87,12.46
0.24,48.38,3.84,12.36
0.27,48.38,4.22,13.6
0.24,48.38,3.99,12.85
0.24,48.38,3.85,12.41
0.27,48.31,3.99,12.86
0.32,48.25,3.78,12.18
0.35,48.25,3.91,12.58
0.33,48.19,3.92,12.63
0.31,48.19,3.91,12.6
0.34,48.19,3.8,12.25
0.35,48.13,3.91,12.58
0.35,48.13,3.86,12.44
0.36,48.06,3.86,12.42
0.35,48.06,3.83,12.34
0.31,48.0,3.87,12.45
0.36,48.0,3.92,12.63
0.35,48.0,3.86,12.44
0.3,47.94,3.87,12.47
0.34,47.88,3.92,12.61
0.3,47.88,3.91,12.6
0.27,47.88,3.92,12.63
0.27,47.81,4.15,13.37
0.27,47.75,3.81,12.27
0.26,47.75,3.98,12.82
0.27,47.75,3.91,12.58
0.31,47.69,3.74,12.03
0.32,47.69,3.89,12.53
0.3,47.69,3.88,12.48
0.34,47.63,3.92,12.64
0.33,47.56,3.87,12.45
0.3,47.5,3.88,12.5
0.29,47.5,3.9,12.56
0.28,47.44,3.84,12.37
0.29,47.44,3.86,12.44
0.3,47.38,3.88,12.48
0.32,47.38,3.83,12.34
0.36,47.31,3.94,12.69
0.34,47.31,3.96,12.75
0.33,47.25,3.88,12.49
0.32,47.19,3.92,12.61
