vibration,temperature,current,voltage
1.33,25.62,3.98,12.83
1.3,25.62,3.9,12.55
1.35,25.56,3.73,12.0
1.54,25.56,3.9,12.55
1.48,25.62,4.01,12.92
1.53,25.56,3.77,12.15
1.74,25.62,3.86,12.44
2.01,25.62,3.9,12.55
2.1,25.62,3.82,12.3
1.52,25.56,3.91,12.58
1.12,25.62,3.67,11.83
1.49,25.62,3.34,10.77
1.27,25.69,3.88,12.49
0.99,25.69,3.8,12.22
0.96,25.62,3.79,12.19
1.13,25.69,3.91,12.59
1.34,25.69,3.77,12.14
1.29,25.69,3.84,12.37
1.42,25.75,3.95,12.73
1.42,25.75,3.91,12.58
1.22,25.69,3.98,12.82
1.45,25.75,3.93,12.66
1.26,25.69,3.78,12.18
1.35,25.75,3.8,12.22
1.1,25.75,3.72,11.98
1.0,25.75,3.83,12.34
1.09,25.75,3.67,11.83
1.31,25.75,3.84,12.35
1.57,25.75,3.94,12.69
1.2,25.75,3.78,12.17
0.94,25.75,3.88,12.48
1.19,25.75,3.84,12.37
1.37,25.81,3.91,12.58
1.69,25.75,3.79,12.2
1.43,25.81,4.02,12.95
1.25,25.81,3.89,12.51
1.05,25.81,3.96,12.76
1.39,25.81,3.9,12.57
1.21,25.81,3.84,12.37
1.38,25.81,3.93,12.64
1.19,25.87,3.75,12.07
1.04,25.81,3.47,11.17
1.04,25.87,3.79,12.19

