vibration,temperature,current,voltage
0.0,25.37,3.87,12.45
0.0,25.31,3.76,12.1
0.19,25.31,3.8,12.23
0.28,25.37,3.85,12.41
0.27,25.37,3.82,12.31
0.26,25.31,3.86,12.42
0.32,25.31,3.95,12.73
0.35,25.31,3.84,12.37
0.32,25.31,3.83,12.34
0.33,25.31,3.85,12.41
0.31,25.37,3.94,12.68
0.33,25.37,3.83,12.32
0.3,25.31,4.05,13.04
0.33,25.37,3.84,12.37
0.36,25.31,3.87,12.47
0.31,25.31,3.94,12.7
0.33,25.31,3.94,12.69
0.29,25.31,3.93,12.64
0.27,25.31,3.82,12.3
0.34,25.31,3.76,12.1
0.33,25.31,4.09,13.18
0.3,25.31,3.9,12.55
0.32,25.31,3.81,12.28
0.27,25.31,3.86,12.44
0.38,25.25,4.19,13.49
0.36,25.25,3.87,12.46
0.31,25.25,3.75,12.08
0.27,25.25,3.81,12.27
0.26,25.25,3.82,12.31
0.28,25.25,3.74,12.05
0.29,25.25,3.89,12.52
0.28,25.31,3.77,12.15
0.32,25.25,3.98,12.83
0.34,25.25,3.75,12.06
0.28,25.25,3.83,12.33
0.3,25.25,3.9,12.56
0.33,25.25,3.9,12.55
0.3,25.25,3.91,12.58
0.31,25.25,3.79,12.21
0.31,25.25,3.9,12.57
0.32,25.25,3.84,12.37
0.29,25.25,3.82,12.3
0.31,25.25,3.83,12.32
0.29,25.19,3.88,12.51
0.33,25.25,3.81,12.25
0.34,25.25,3.76,12.12
0.32,25.19,3.84,12.37
0.36,25.19,3.81,12.27
0.35,25.19,3.77,12.15
0.37,25.25,3.76,12.11
0.35,25.25,3.9,12.57
0.41,25.25,3.83,12.34
0.4,25.25,3.66,11.79
