vibration,temperature,current,voltage
0.45,25.31,2.05,6.6
0.44,25.37,2.31,7.44
0.44,25.37,1.84,5.93
0.35,25.31,2.19,7.04
0.32,25.31,2.08,6.7
0.27,25.31,2.08,6.7
0.29,25.31,1.97,6.33
0.29,25.37,1.82,5.87
0.3,25.37,2.1,6.77
0.37,25.37,2.33,7.51
0.35,25.31,2.73,8.78
0.38,25.31,2.69,8.68
0.4,25.31,2.43,7.84
0.4,25.31,2.54,8.19
0.35,25.31,1.99,6.4
0.32,25.31,1.98,6.39
0.29,25.31,2.3,7.42
0.3,25.37,2.55,8.2
0.36,25.31,2.86,9.2
0.39,25.31,2.96,9.54
0.36,25.31,2.49,8.02
0.32,25.31,2.03,6.54
0.29,25.31,1.9,6.12
0.32,25.25,1.84,5.93
0.36,25.25,1.7,5.48
0.41,25.31,1.72,5.54
0.35,25.31,1.4,4.5
0.36,25.25,1.59,5.11
0.34,25.31,2.8,9.03
0.34,25.25,1.07,3.45
0.36,25.31,0.88,2.82
0.33,25.25,0.8,2.59
0.34,25.25,0.97,3.14
0.32,25.25,1.15,3.69
0.31,25.25,1.43,4.59
0.27,25.25,1.76,5.67
0.27,25.25,1.84,5.93
0.31,25.25,1.74,5.6
0.3,25.25,1.49,4.78
0.3,25.19,1.46,4.71
0.28,25.25,1.47,4.73
0.27,25.25,2.01,6.46
0.29,25.19,2.02,6.51
0.39,25.25,1.75,5.62
0.37,25.19,2.05,6.6
0.35,25.19,2.26,7.29
0.38,25.19,2.56,8.24
0.33,25.19,2.64,8.51
0.36,25.25,2.13,6.85
0.35,25.25,2.52,8.12
0.33,25.25,3.14,10.12
0.29,25.25,2.16,6.97
0.27,25.25,2.49,8.0
0.31,25.25,3.02,9.73
0.28,25.19,2.2,7.09
0.24,25.19,1.96,6.33
0.27,25.19,1.64,5.28
0.3,25.25,1.47,4.73
0.38,25.19,1.85,5.95
0.36,25.19,1.06,3.41
0.39,25.19,2.06,6.64
0.37,25.19,2.53,8.14
0.39,25.19,1.67,5.39
0.36,25.19,0.56,1.81
0.32,25.19,0.0,0.0
0.31,25.19,1.02,3.3
0.35,25.12,1.92,6.18
0.38,25.19,1.27,4.09
0.33,25.25,2.04,6.58
0.27,25.19,2.93,9.42
0.27,25.19,3.9,12.57
0.24,25.19,1.07,3.46
0.27,25.19,1.54,4.95
0.29,25.19,1.15,3.69
0.28,25.19,0.82,2.63
0.36,25.19,1.68,5.42
0.41,25.19,1.69,5.44
0.46,25.25,1.88,6.06
0.43,25.25,2.11,6.79
0.39,25.25,5.12,16.5
0.38,25.25,5.12,16.5
0.31,25.19,5.12,16.5
0.27,25.25,5.12,16.5
0.32,25.25,5.12,16.5
0.31,25.25,0.63,2.01
0.3,25.25,0.73,2.35
0.37,25.19,0.56,1.81
0.45,25.25,0.63,2.02
0.5,25.25,0.6,1.93
